datestr,daten,DPCCRAM1M225NBEA
"1992-12-01",01dec1992,.9
"1993-01-01",01jan1993,.2
"1993-02-01",01feb1993,-.5
"1993-03-01",01mar1993,-.2
"1993-04-01",01apr1993,1
"1993-05-01",01may1993,.4
"1993-06-01",01jun1993,.3
"1993-07-01",01jul1993,.5
"1993-08-01",01aug1993,0
"1993-09-01",01sep1993,.5
"1993-10-01",01oct1993,.3
"1993-11-01",01nov1993,.4
"1993-12-01",01dec1993,.2
"1994-01-01",01jan1994,.3
"1994-02-01",01feb1994,.9
"1994-03-01",01mar1994,.2
"1994-04-01",01apr1994,.4
"1994-05-01",01may1994,-.3
"1994-06-01",01jun1994,.4
"1994-07-01",01jul1994,.3
"1994-08-01",01aug1994,.7
"1994-09-01",01sep1994,.2
"1994-10-01",01oct1994,.7
"1994-11-01",01nov1994,.2
"1994-12-01",01dec1994,.2
"1995-01-01",01jan1995,-.1
"1995-02-01",01feb1995,-.3
"1995-03-01",01mar1995,.8
"1995-04-01",01apr1995,-.3
"1995-05-01",01may1995,.7
"1995-06-01",01jun1995,.9
"1995-07-01",01jul1995,-.4
"1995-08-01",01aug1995,.5
"1995-09-01",01sep1995,.5
"1995-10-01",01oct1995,-.3
"1995-11-01",01nov1995,.7
"1995-12-01",01dec1995,.7
"1996-01-01",01jan1996,-.5
"1996-02-01",01feb1996,.8
"1996-03-01",01mar1996,.5
"1996-04-01",01apr1996,.5
"1996-05-01",01may1996,.1
"1996-06-01",01jun1996,.1
"1996-07-01",01jul1996,.4
"1996-08-01",01aug1996,.3
"1996-09-01",01sep1996,.3
"1996-10-01",01oct1996,.2
"1996-11-01",01nov1996,.2
"1996-12-01",01dec1996,.5
"1997-01-01",01jan1997,.5
"1997-02-01",01feb1997,.3
"1997-03-01",01mar1997,.4
"1997-04-01",01apr1997,-.2
"1997-05-01",01may1997,.2
"1997-06-01",01jun1997,.6
"1997-07-01",01jul1997,.9
"1997-08-01",01aug1997,.9
"1997-09-01",01sep1997,-.1
"1997-10-01",01oct1997,.4
"1997-11-01",01nov1997,.6
"1997-12-01",01dec1997,.6
"1998-01-01",01jan1998,.2
"1998-02-01",01feb1998,.5
"1998-03-01",01mar1998,.4
"1998-04-01",01apr1998,.7
"1998-05-01",01may1998,.7
"1998-06-01",01jun1998,.6
"1998-07-01",01jul1998,.2
"1998-08-01",01aug1998,.5
"1998-09-01",01sep1998,.8
"1998-10-01",01oct1998,.6
"1998-11-01",01nov1998,.3
"1998-12-01",01dec1998,.7
"1999-01-01",01jan1999,-.2
"1999-02-01",01feb1999,.6
"1999-03-01",01mar1999,.3
"1999-04-01",01apr1999,.6
"1999-05-01",01may1999,.5
"1999-06-01",01jun1999,.4
"1999-07-01",01jul1999,.1
"1999-08-01",01aug1999,.7
"1999-09-01",01sep1999,.5
"1999-10-01",01oct1999,.3
"1999-11-01",01nov1999,.8
"1999-12-01",01dec1999,.9
"2000-01-01",01jan2000,.2
"2000-02-01",01feb2000,1
"2000-03-01",01mar2000,.7
"2000-04-01",01apr2000,-.3
"2000-05-01",01may2000,.4
"2000-06-01",01jun2000,.1
"2000-07-01",01jul2000,.2
"2000-08-01",01aug2000,.5
"2000-09-01",01sep2000,.9
"2000-10-01",01oct2000,-.1
"2000-11-01",01nov2000,0
"2000-12-01",01dec2000,.1
"2001-01-01",01jan2001,.4
"2001-02-01",01feb2001,.2
"2001-03-01",01mar2001,-.2
"2001-04-01",01apr2001,.1
"2001-05-01",01may2001,.4
"2001-06-01",01jun2001,.2
"2001-07-01",01jul2001,0
"2001-08-01",01aug2001,.7
"2001-09-01",01sep2001,-1.2
"2001-10-01",01oct2001,2.7
"2001-11-01",01nov2001,-.4
"2001-12-01",01dec2001,-.3
"2002-01-01",01jan2002,.6
"2002-02-01",01feb2002,.4
"2002-03-01",01mar2002,-.2
"2002-04-01",01apr2002,.7
"2002-05-01",01may2002,-.7
"2002-06-01",01jun2002,.4
"2002-07-01",01jul2002,.6
"2002-08-01",01aug2002,.2
"2002-09-01",01sep2002,-.3
"2002-10-01",01oct2002,.2
"2002-11-01",01nov2002,.3
"2002-12-01",01dec2002,.8
"2003-01-01",01jan2003,-.1
"2003-02-01",01feb2003,-.3
"2003-03-01",01mar2003,.8
"2003-04-01",01apr2003,.3
"2003-05-01",01may2003,.4
"2003-06-01",01jun2003,.7
"2003-07-01",01jul2003,.4
"2003-08-01",01aug2003,.9
"2003-09-01",01sep2003,-.2
"2003-10-01",01oct2003,.1
"2003-11-01",01nov2003,.6
"2003-12-01",01dec2003,.2
"2004-01-01",01jan2004,.2
"2004-02-01",01feb2004,.3
"2004-03-01",01mar2004,.7
"2004-04-01",01apr2004,-.2
"2004-05-01",01may2004,.7
"2004-06-01",01jun2004,-.5
"2004-07-01",01jul2004,.9
"2004-08-01",01aug2004,.4
"2004-09-01",01sep2004,.6
"2004-10-01",01oct2004,.2
"2004-11-01",01nov2004,.2
"2004-12-01",01dec2004,.7
"2005-01-01",01jan2005,-.4
"2005-02-01",01feb2005,.6
"2005-03-01",01mar2005,0
"2005-04-01",01apr2005,.8
"2005-05-01",01may2005,-.1
"2005-06-01",01jun2005,.9
"2005-07-01",01jul2005,.8
"2005-08-01",01aug2005,-.5
"2005-09-01",01sep2005,-.2
"2005-10-01",01oct2005,.3
"2005-11-01",01nov2005,.5
"2005-12-01",01dec2005,.2
"2006-01-01",01jan2006,1.1
"2006-02-01",01feb2006,-.1
"2006-03-01",01mar2006,.2
"2006-04-01",01apr2006,.2
"2006-05-01",01may2006,0
"2006-06-01",01jun2006,.1
"2006-07-01",01jul2006,.3
"2006-08-01",01aug2006,-.1
"2006-09-01",01sep2006,.7
"2006-10-01",01oct2006,.3
"2006-11-01",01nov2006,.2
"2006-12-01",01dec2006,.7
"2007-01-01",01jan2007,-.1
"2007-02-01",01feb2007,-.1
"2007-03-01",01mar2007,.4
"2007-04-01",01apr2007,-.2
"2007-05-01",01may2007,.4
"2007-06-01",01jun2007,-.1
"2007-07-01",01jul2007,.2
"2007-08-01",01aug2007,.4
"2007-09-01",01sep2007,.1
"2007-10-01",01oct2007,.2
"2007-11-01",01nov2007,0
"2007-12-01",01dec2007,-.2
"2008-01-01",01jan2008,.1
"2008-02-01",01feb2008,-.4
"2008-03-01",01mar2008,0
"2008-04-01",01apr2008,.4
"2008-05-01",01may2008,.2
"2008-06-01",01jun2008,-.1
"2008-07-01",01jul2008,-.3
"2008-08-01",01aug2008,.1
"2008-09-01",01sep2008,-.6
"2008-10-01",01oct2008,-.5
"2008-11-01",01nov2008,-.4
"2008-12-01",01dec2008,-.3
"2009-01-01",01jan2009,.4
"2009-02-01",01feb2009,-.3
"2009-03-01",01mar2009,-.6
"2009-04-01",01apr2009,0
"2009-05-01",01may2009,.1
"2009-06-01",01jun2009,0
"2009-07-01",01jul2009,.4
"2009-08-01",01aug2009,.9
"2009-09-01",01sep2009,-1.1
"2009-10-01",01oct2009,0
"2009-11-01",01nov2009,.1
"2009-12-01",01dec2009,.2
"2010-01-01",01jan2010,0
"2010-02-01",01feb2010,.2
"2010-03-01",01mar2010,.8
"2010-04-01",01apr2010,.2
"2010-05-01",01may2010,0
"2010-06-01",01jun2010,.3
"2010-07-01",01jul2010,.3
"2010-08-01",01aug2010,.3
"2010-09-01",01sep2010,.1
"2010-10-01",01oct2010,.3
"2010-11-01",01nov2010,.2
"2010-12-01",01dec2010,0
"2011-01-01",01jan2011,.3
"2011-02-01",01feb2011,.3
"2011-03-01",01mar2011,.4
"2011-04-01",01apr2011,0
"2011-05-01",01may2011,0
"2011-06-01",01jun2011,.2
"2011-07-01",01jul2011,.1
"2011-08-01",01aug2011,.1
"2011-09-01",01sep2011,.3
"2011-10-01",01oct2011,.1
"2011-11-01",01nov2011,-.1
"2011-12-01",01dec2011,.2
"2012-01-01",01jan2012,.7
"2012-02-01",01feb2012,.5
"2012-03-01",01mar2012,0
"2012-04-01",01apr2012,-.1
"2012-05-01",01may2012,-.1
"2012-06-01",01jun2012,-.1
"2012-07-01",01jul2012,.2
"2012-08-01",01aug2012,0
"2012-09-01",01sep2012,.4
"2012-10-01",01oct2012,0
"2012-11-01",01nov2012,.5
"2012-12-01",01dec2012,.2
"2013-01-01",01jan2013,.2
"2013-02-01",01feb2013,-.1
"2013-03-01",01mar2013,-.1
"2013-04-01",01apr2013,0
"2013-05-01",01may2013,.3
"2013-06-01",01jun2013,0
"2013-07-01",01jul2013,.2
"2013-08-01",01aug2013,.2
"2013-09-01",01sep2013,.2
"2013-10-01",01oct2013,.3
"2013-11-01",01nov2013,.3
"2013-12-01",01dec2013,.1
"2014-01-01",01jan2014,-.5
"2014-02-01",01feb2014,.7
"2014-03-01",01mar2014,.6
"2014-04-01",01apr2014,.4
"2014-05-01",01may2014,.4
"2014-06-01",01jun2014,.5
"2014-07-01",01jul2014,.3
"2014-08-01",01aug2014,.7
"2014-09-01",01sep2014,.1
"2014-10-01",01oct2014,.5
"2014-11-01",01nov2014,.2
"2014-12-01",01dec2014,.5
"2015-01-01",01jan2015,.1
"2015-02-01",01feb2015,.1
"2015-03-01",01mar2015,.5
"2015-04-01",01apr2015,.4
"2015-05-01",01may2015,.4
"2015-06-01",01jun2015,.1
"2015-07-01",01jul2015,.4
"2015-08-01",01aug2015,.2
"2015-09-01",01sep2015,.1
"2015-10-01",01oct2015,.2
"2015-11-01",01nov2015,.3
"2015-12-01",01dec2015,.4
"2016-01-01",01jan2016,.1
"2016-02-01",01feb2016,.6
"2016-03-01",01mar2016,-.1
"2016-04-01",01apr2016,.2
"2016-05-01",01may2016,.2
"2016-06-01",01jun2016,.4
"2016-07-01",01jul2016,.1
"2016-08-01",01aug2016,.1
"2016-09-01",01sep2016,.5
"2016-10-01",01oct2016,.2
"2016-11-01",01nov2016,.2
"2016-12-01",01dec2016,.3
"2017-01-01",01jan2017,.4
"2017-02-01",01feb2017,-.1
"2017-03-01",01mar2017,.4
"2017-04-01",01apr2017,.1
"2017-05-01",01may2017,.1
"2017-06-01",01jun2017,.3
"2017-07-01",01jul2017,.2
"2017-08-01",01aug2017,.1
"2017-09-01",01sep2017,.6
"2017-10-01",01oct2017,.2
"2017-11-01",01nov2017,.5
"2017-12-01",01dec2017,.2
"2018-01-01",01jan2018,0
"2018-02-01",01feb2018,.2
"2018-03-01",01mar2018,.1
"2018-04-01",01apr2018,.4
"2018-05-01",01may2018,.5
"2018-06-01",01jun2018,.3
"2018-07-01",01jul2018,.4
"2018-08-01",01aug2018,.3
"2018-09-01",01sep2018,0
"2018-10-01",01oct2018,.3
"2018-11-01",01nov2018,.2
"2018-12-01",01dec2018,-.7
"2019-01-01",01jan2019,.6
